Category,Skills
Data Scientist,"python, machine learning, sql, tensorflow, pytorch, statistics, analysis, databricks, r, big data"
Web Developer (Frontend),"javascript, react, html, css, vue, angular, node, npm, webpack, ui/ux"
DevOps Engineer,"aws, azure, docker, kubernetes, jenkins, terraform, ci/cd, linux, shell"
Marketing Specialist,"seo, sem, google analytics, content creation, social media, market research, campaign"
Project Manager,"scrum, agile, pmp, jira, communication, leadership, budgeting, stakeholder management"
Software Engineer,"java, python, c++, algorithms, data structures, git, testing, oop, debugging"
Data Analyst,"sql, excel, tableau, r, python, data visualization, business intelligence, reporting"
Sales Manager,"CRM (Salesforce), Account Management, Negotiation, Sales Strategy, Forecasting, Team Leadership, Cold Calling, Presentation Skills, Quota Attainment"
Financial Analyst,"Financial Modeling, Valuation, Budgeting, Forecasting, Excel (Advanced), GAAP, CPA, Corporate Finance, Data Analysis, Risk Management"
Human Resources (HR),"Recruitment, Employee Relations, Onboarding, HRIS, Payroll, Labor Law, Performance Management, Compensation and Benefits, SHRM, Conflict Resolution"
Content Marketing,"SEO, SEM, Blogging, Copywriting, Email Marketing, Content Strategy, Google Analytics, CMS (WordPress), Lead Generation, Brand Awareness"
Business Analyst,"Requirement Gathering, SQL, Data Mapping, Process Modeling, Agile, Scrum, Wireframing, Stakeholder Communication, JIRA, Documentation"
Embedded Systems Engineer,"C/C++, Microcontrollers, RTOS, PCB Design, Circuit Analysis, Soldering, Hardware Debugging, Firmware Development, ARM, IoT"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Deep Learning, Neural Networks, Computer Vision, NLP, Model Deployment, MLOps, Algorithm Optimization"
Cloud Security Engineer,"Cloud Security Posture Management (CSPM), SIEM, Network Segmentation, Threat Modeling, IAM, Encryption, Compliance, CIS Benchmarks, Penetration Testing"
QA Engineer/Tester,"Test Plans, Selenium, JIRA, Bug Reporting, Automated Testing, Regression Testing, Performance Testing, SQL, CI/CD, Scripting (Python/Java)"
System Administrator,"Windows Server, Linux (Ubuntu/RedHat), Active Directory, DNS, DHCP, PowerShell, Bash, Virtualization (VMware/Hyper-V), Troubleshooting, Network Configuration"
